VibEne_V	Entrene_S	Fene_V-TS	Remarks
0.16252630	0.00977289	0.15275341	hol
0.19163205	0.00741640	0.18421565	NiNibrdg
0.18086850	0.01221092	0.16865759	NiPbrdg
0.20826867	0.02042546	0.18784321	Ptop
0.14923087	0.01391801	0.13531286	Nitop
