nH	En	En-1	diffGibbs	Remarks(n,n-1)
2	-773.76396586	-767.26825088	0.10767931	#2@0P,#Refene
4	-780.19618919	-773.76396586	0.17117096	#2@PH2-2@0P,#2@0P
6	-786.63107385	-780.19618919	0.16850963	#4@PH2-2@0P,#2@PH2-2@0P
8	-793.16836227	-786.63107385	0.06610587	#8@PH2,#4@PH2-2@0P
10	-799.32876334	-793.16836227	0.44299322	#6@PH3-4@PH2,#8@PH2
12	-805.34419473	-799.32876334	0.58796290	#12@PH3,#6@PH3-4@PH2
