nH	En	En-1	diffGibbs	Remarks(n,n-1)
5	-783.02372830	-780.59768492	1.02650234	#4@0P-1@NiPbrdg,#4@PH2
5	-783.02372830	-780.53315612	0.96197354	#4@0P-1@NiPbrdg,#2@PH2-2@0P
5	-783.02372830	-780.35080042	0.77961784	#4@0P-1@NiPbrdg,#4@0P
5	-783.02372830	-779.72030596	0.14912338	#4@0P-1@NiPbrdg,#2@PH2-2@Ptop
5	-783.02372830	-779.71077450	0.13959191	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-1
5	-783.02372830	-779.57248064	0.00129805	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-2
6	-787.19039250	-783.73707352	-0.00077327	#6@PH2,#3@PH3-2@PH2
6	-787.19039250	-783.72420971	-0.01363708	#6@PH2,#3@0P-2@PH2
6	-787.19039250	-783.69413132	-0.04371547	#6@PH2,#4@PH2-1@0P
6	-787.19039250	-783.24486813	-0.49297866	#6@PH2,#4@0P-1@Ptop
6	-787.19039250	-783.02372830	-0.71411849	#6@PH2,#4@0P-1@NiPbrdg
6	-787.10028290	-783.73707352	0.08933633	#4@PH2-2@0P,#3@PH3-2@PH2
6	-787.10028290	-783.72420971	0.07647252	#4@PH2-2@0P,#3@0P-2@PH2
6	-787.10028290	-783.69413132	0.04639413	#4@PH2-2@0P,#4@PH2-1@0P
6	-787.10028290	-783.24486813	-0.40286906	#4@PH2-2@0P,#4@0P-1@Ptop
6	-787.10028290	-783.02372830	-0.62400889	#4@PH2-2@0P,#4@0P-1@NiPbrdg
6	-786.87846365	-783.73707352	0.31115558	#6@PH3,#3@PH3-2@PH2
6	-786.87846365	-783.72420971	0.29829177	#6@PH3,#3@0P-2@PH2
6	-786.87846365	-783.69413132	0.26821339	#6@PH3,#4@PH2-1@0P
6	-786.87846365	-783.24486813	-0.18104980	#6@PH3,#4@0P-1@Ptop
6	-786.87846365	-783.02372830	-0.40218964	#6@PH3,#4@0P-1@NiPbrdg
7	-790.44034003	-787.19039250	0.20259819	#6@PH2-1@0P,#6@PH2
7	-790.44034003	-787.10028290	0.11248859	#6@PH2-1@0P,#4@PH2-2@0P
7	-790.44034003	-786.87846365	-0.10933067	#6@PH2-1@0P,#6@PH3
7	-790.30154449	-787.19039250	0.34139372	#3@PH3-4@PH2,#6@PH2
7	-790.30154449	-787.10028290	0.25128412	#3@PH3-4@PH2,#4@PH2-2@0P
7	-790.30154449	-786.87846365	0.02946487	#3@PH3-4@PH2,#6@PH3
7	-790.11284627	-787.19039250	0.53009195	#6@PH2-1@NiPbrdg,#6@PH2
7	-790.11284627	-787.10028290	0.43998235	#6@PH2-1@NiPbrdg,#4@PH2-2@0P
7	-790.11284627	-786.87846365	0.21816309	#6@PH2-1@NiPbrdg,#6@PH3
8	-793.69733074	-790.44034003	0.19555500	#8@PH2,#6@PH2-1@0P
8	-793.69733074	-790.30154449	0.05675947	#8@PH2,#3@PH3-4@PH2
8	-793.69733074	-790.11284627	-0.13193876	#8@PH2,#6@PH2-1@NiPbrdg
8	-793.55495004	-790.44034003	0.33793570	#3@PH3-4@PH2-1@0P,#6@PH2-1@0P
8	-793.55495004	-790.30154449	0.19914017	#3@PH3-4@PH2-1@0P,#3@PH3-4@PH2
8	-793.55495004	-790.11284627	0.01044194	#3@PH3-4@PH2-1@0P,#6@PH2-1@NiPbrdg
8	-793.43567164	-790.44034003	0.45721410	#6@PH3-2@PH2,#6@PH2-1@0P
8	-793.43567164	-790.30154449	0.31841856	#6@PH3-2@PH2,#3@PH3-4@PH2
8	-793.43567164	-790.11284627	0.12972034	#6@PH3-2@PH2,#6@PH2-1@NiPbrdg
8	-793.41283601	-790.44034003	0.48004973	#6@PH3-2@0P,#6@PH2-1@0P
8	-793.41283601	-790.30154449	0.34125419	#6@PH3-2@0P,#3@PH3-4@PH2
8	-793.41283601	-790.11284627	0.15255597	#6@PH3-2@0P,#6@PH2-1@NiPbrdg
9	-796.86904918	-793.69733074	0.28082727	#3@PH3-6@PH2,#8@PH2
9	-796.86904918	-793.55495004	0.13844657	#3@PH3-6@PH2,#3@PH3-4@PH2-1@0P
9	-796.86904918	-793.43567164	0.01916818	#3@PH3-6@PH2,#6@PH3-2@PH2
9	-796.86904918	-793.41283601	-0.00366745	#3@PH3-6@PH2,#6@PH3-2@0P
9	-796.71627950	-793.69733074	0.43359696	#6@PH3-2@PH2-1@0P,#8@PH2
9	-796.71627950	-793.55495004	0.29121625	#6@PH3-2@PH2-1@0P,#3@PH3-4@PH2-1@0P
9	-796.71627950	-793.43567164	0.17193786	#6@PH3-2@PH2-1@0P,#6@PH3-2@PH2
9	-796.71627950	-793.41283601	0.14910223	#6@PH3-2@PH2-1@0P,#6@PH3-2@0P
9	-796.44506705	-793.69733074	0.70480940	#9@PH3,#8@PH2
9	-796.44506705	-793.55495004	0.56242870	#9@PH3,#3@PH3-4@PH2-1@0P
9	-796.44506705	-793.43567164	0.44315030	#9@PH3,#6@PH3-2@PH2
9	-796.44506705	-793.41283601	0.42031467	#9@PH3,#6@PH3-2@0P
10	-799.90830277	-796.86904918	0.41329212	#6@PH3-4@PH2,#3@PH3-6@PH2
10	-799.90830277	-796.71627950	0.26052244	#6@PH3-4@PH2,#6@PH3-2@PH2-1@0P
10	-799.90830277	-796.44506705	-0.01069000	#6@PH3-4@PH2,#9@PH3
10	-799.74934508	-796.86904918	0.57224982	#9@PH3-1@0P,#3@PH3-6@PH2
10	-799.74934508	-796.71627950	0.41948013	#9@PH3-1@0P,#6@PH3-2@PH2-1@0P
10	-799.74934508	-796.44506705	0.14826769	#9@PH3-1@0P,#9@PH3
10	-799.39714656	-796.86904918	0.92444833	#8@PH2-1@Ptop-1@NiPbrdg-1,#3@PH3-6@PH2
10	-799.39714656	-796.71627950	0.77167865	#8@PH2-1@Ptop-1@NiPbrdg-1,#6@PH3-2@PH2-1@0P
10	-799.39714656	-796.44506705	0.50046620	#8@PH2-1@Ptop-1@NiPbrdg-1,#9@PH3
10	-799.39707691	-796.86904918	0.92451798	#8@PH2-1@Ptop-1@NiPbrdg-2,#3@PH3-6@PH2
10	-799.39707691	-796.71627950	0.77174830	#8@PH2-1@Ptop-1@NiPbrdg-2,#6@PH3-2@PH2-1@0P
10	-799.39707691	-796.44506705	0.50053585	#8@PH2-1@Ptop-1@NiPbrdg-2,#9@PH3
10	-799.31227324	-796.86904918	1.00932166	#8@PH2-2@NiPbrdg,#3@PH3-6@PH2
10	-799.31227324	-796.71627950	0.85655197	#8@PH2-2@NiPbrdg,#6@PH3-2@PH2-1@0P
10	-799.31227324	-796.44506705	0.58533953	#8@PH2-2@NiPbrdg,#9@PH3
11	-802.96158173	-799.90830277	0.39926675	#9@PH3-2@PH2,#6@PH3-4@PH2
11	-802.96158173	-799.74934508	0.24030906	#9@PH3-2@PH2,#9@PH3-1@0P
11	-802.96158173	-799.39714656	-0.11188946	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.96158173	-799.39707691	-0.11195911	#9@PH3-2@PH2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.96158173	-799.31227324	-0.19676278	#9@PH3-2@PH2,#8@PH2-2@NiPbrdg
11	-802.05025221	-799.90830277	1.31059627	#8@PH2-3@NiPbrdg-1,#6@PH3-4@PH2
11	-802.05025221	-799.74934508	1.15163858	#8@PH2-3@NiPbrdg-1,#9@PH3-1@0P
11	-802.05025221	-799.39714656	0.79944006	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.05025221	-799.39707691	0.79937041	#8@PH2-3@NiPbrdg-1,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.05025221	-799.31227324	0.71456674	#8@PH2-3@NiPbrdg-1,#8@PH2-2@NiPbrdg
11	-802.04383070	-799.90830277	1.31701779	#8@PH2-3@Ptop,#6@PH3-4@PH2
11	-802.04383070	-799.74934508	1.15806010	#8@PH2-3@Ptop,#9@PH3-1@0P
11	-802.04383070	-799.39714656	0.80586158	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.04383070	-799.39707691	0.80579193	#8@PH2-3@Ptop,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.04383070	-799.31227324	0.72098826	#8@PH2-3@Ptop,#8@PH2-2@NiPbrdg
11	-802.02159438	-799.90830277	1.33925410	#8@PH2-3@NiPbrdg-2,#6@PH3-4@PH2
11	-802.02159438	-799.74934508	1.18029641	#8@PH2-3@NiPbrdg-2,#9@PH3-1@0P
11	-802.02159438	-799.39714656	0.82809789	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-1
11	-802.02159438	-799.39707691	0.82802824	#8@PH2-3@NiPbrdg-2,#8@PH2-1@Ptop-1@NiPbrdg-2
11	-802.02159438	-799.31227324	0.74322457	#8@PH2-3@NiPbrdg-2,#8@PH2-2@NiPbrdg
12	-805.97430512	-802.96158173	0.43982232	#12@PH3,#9@PH3-2@PH2
12	-805.97430512	-802.05025221	-0.47150720	#12@PH3,#8@PH2-3@NiPbrdg-1
12	-805.97430512	-802.04383070	-0.47792871	#12@PH3,#8@PH2-3@Ptop
12	-805.97430512	-802.02159438	-0.50016503	#12@PH3,#8@PH2-3@NiPbrdg-2
12	-805.31803068	-802.96158173	1.09609676	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#9@PH3-2@PH2
12	-805.31803068	-802.05025221	0.18476724	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-1
12	-805.31803068	-802.04383070	0.17834573	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@Ptop
12	-805.31803068	-802.02159438	0.15610941	#6@PH2-3@PH3-2@Ptop-1@NiPbrdg,#8@PH2-3@NiPbrdg-2
12	-804.76565439	-802.96158173	1.64847305	#8@PH2-4@Ptop,#9@PH3-2@PH2
12	-804.76565439	-802.05025221	0.73714353	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-1
12	-804.76565439	-802.04383070	0.73072201	#8@PH2-4@Ptop,#8@PH2-3@Ptop
12	-804.76565439	-802.02159438	0.70848570	#8@PH2-4@Ptop,#8@PH2-3@NiPbrdg-2
12	-804.71224966	-802.96158173	1.70187779	#8@PH2-4@NiPbrdg-2,#9@PH3-2@PH2
12	-804.71224966	-802.05025221	0.79054827	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-1
12	-804.71224966	-802.04383070	0.78412675	#8@PH2-4@NiPbrdg-2,#8@PH2-3@Ptop
12	-804.71224966	-802.02159438	0.76189044	#8@PH2-4@NiPbrdg-2,#8@PH2-3@NiPbrdg-2
12	-804.65735907	-802.96158173	1.75676838	#8@PH2-4@NiPbrdg-1,#9@PH3-2@PH2
12	-804.65735907	-802.05025221	0.84543886	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-1
12	-804.65735907	-802.04383070	0.83901734	#8@PH2-4@NiPbrdg-1,#8@PH2-3@Ptop
12	-804.65735907	-802.02159438	0.81678103	#8@PH2-4@NiPbrdg-1,#8@PH2-3@NiPbrdg-2
