nH	En	En-1	diffGibbs	Remarks(n,n-1)
5	-782.50960392	-780.33320069	1.14193574	#4@0P-1@NiPbrdg,#4@PH2
5	-782.50960392	-780.19618919	1.00492424	#4@0P-1@NiPbrdg,#2@PH2-2@0P
5	-782.50960392	-779.94135079	0.75008584	#4@0P-1@NiPbrdg,#4@0P
5	-782.50960392	-779.36918289	0.17791795	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-1
5	-782.50960392	-779.36259155	0.17132660	#4@0P-1@NiPbrdg,#2@PH2-2@Ptop
5	-782.50960392	-779.23088904	0.03962409	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-2
6	-786.79366615	-783.44730380	-0.02802338	#6@PH2,#3@PH3-2@PH2
6	-786.79366615	-783.32728468	-0.14804250	#6@PH2,#4@PH2-1@0P
6	-786.79366615	-783.28488036	-0.19044681	#6@PH2,#3@0P-2@PH2
6	-786.79366615	-782.72268235	-0.75264483	#6@PH2,#4@0P-1@Ptop
6	-786.79366615	-782.50960392	-0.96572325	#6@PH2,#4@0P-1@NiPbrdg
6	-786.63107385	-783.44730380	0.13456892	#4@PH2-2@0P,#3@PH3-2@PH2
6	-786.63107385	-783.32728468	0.01454980	#4@PH2-2@0P,#4@PH2-1@0P
6	-786.63107385	-783.28488036	-0.02785451	#4@PH2-2@0P,#3@0P-2@PH2
6	-786.63107385	-782.72268235	-0.59005253	#4@PH2-2@0P,#4@0P-1@Ptop
6	-786.63107385	-782.50960392	-0.80313095	#4@PH2-2@0P,#4@0P-1@NiPbrdg
6	-786.56340845	-783.44730380	0.20223432	#6@PH3,#3@PH3-2@PH2
6	-786.56340845	-783.32728468	0.08221520	#6@PH3,#4@PH2-1@0P
6	-786.56340845	-783.28488036	0.03981089	#6@PH3,#3@0P-2@PH2
6	-786.56340845	-782.72268235	-0.52238713	#6@PH3,#4@0P-1@Ptop
6	-786.56340845	-782.50960392	-0.73546555	#6@PH3,#4@0P-1@NiPbrdg
7	-789.94125127	-786.79366615	0.17075386	#6@PH2-1@0P,#6@PH2
7	-789.94125127	-786.63107385	0.00816156	#6@PH2-1@0P,#4@PH2-2@0P
7	-789.94125127	-786.56340845	-0.05950384	#6@PH2-1@0P,#6@PH3
7	-789.87953266	-786.79366615	0.23247246	#3@PH3-4@PH2,#6@PH2
7	-789.87953266	-786.63107385	0.06988016	#3@PH3-4@PH2,#4@PH2-2@0P
7	-789.87953266	-786.56340845	0.00221476	#3@PH3-4@PH2,#6@PH3
8	-793.16836227	-789.94125127	0.09122797	#8@PH2,#6@PH2-1@0P
8	-793.16836227	-789.87953266	0.02950936	#8@PH2,#3@PH3-4@PH2
8	-793.03057580	-789.94125127	0.22901444	#3@PH3-4@PH2-1@0P,#6@PH2-1@0P
8	-793.03057580	-789.87953266	0.16729584	#3@PH3-4@PH2-1@0P,#3@PH3-4@PH2
8	-792.98837433	-789.94125127	0.27121591	#6@PH3-2@PH2,#6@PH2-1@0P
8	-792.98837433	-789.87953266	0.20949730	#6@PH3-2@PH2,#3@PH3-4@PH2
8	-792.89305600	-789.94125127	0.36653424	#6@PH3-2@0P,#6@PH2-1@0P
8	-792.89305600	-789.87953266	0.30481563	#6@PH3-2@0P,#3@PH3-4@PH2
9	-796.31479523	-793.16836227	0.17190601	#3@PH3-6@PH2,#8@PH2
9	-796.31479523	-793.03057580	0.03411954	#3@PH3-6@PH2,#3@PH3-4@PH2-1@0P
9	-796.31479523	-792.98837433	-0.00808193	#3@PH3-6@PH2,#6@PH3-2@PH2
9	-796.31479523	-792.89305600	-0.10340026	#3@PH3-6@PH2,#6@PH3-2@0P
9	-796.16661977	-793.16836227	0.32008147	#6@PH3-2@PH2-1@0P,#8@PH2
9	-796.16661977	-793.03057580	0.18229499	#6@PH3-2@PH2-1@0P,#3@PH3-4@PH2-1@0P
9	-796.16661977	-792.98837433	0.14009353	#6@PH3-2@PH2-1@0P,#6@PH3-2@PH2
9	-796.16661977	-792.89305600	0.04477520	#6@PH3-2@PH2-1@0P,#6@PH3-2@0P
9	-795.97248426	-793.16836227	0.51421698	#9@PH3,#8@PH2
9	-795.97248426	-793.03057580	0.37643051	#9@PH3,#3@PH3-4@PH2-1@0P
9	-795.97248426	-792.98837433	0.33422904	#9@PH3,#6@PH3-2@PH2
9	-795.97248426	-792.89305600	0.23891071	#9@PH3,#6@PH3-2@0P
10	-799.32876334	-796.31479523	0.30437086	#6@PH3-4@PH2,#3@PH3-6@PH2
10	-799.32876334	-796.16661977	0.15619541	#6@PH3-4@PH2,#6@PH3-2@PH2-1@0P
10	-799.32876334	-795.97248426	-0.03794011	#6@PH3-4@PH2,#9@PH3
