#nH	Eads	Eadsavg	Remarks
10	-775.52448425	-0.06210125	#4@hol-6@NiPbrdg-1
10	-775.61991315	-0.07164414	#8@NiNibrdg-2@NiPbrdg-2
10	-775.55245174	-0.06489800	#8@NiNibrdg-2@NiPbrdg-3
10	-775.59738547	-0.06939137	#4@hol-6@NiPbrdg-2
10	-775.52126242	-0.06177906	#4@hol-6@NiPbrdg-3
10	-775.55072036	-0.06472486	#4@hol-6@NiPbrdg-4
10	-775.57583442	-0.06723626	#4@hol-6@NiPbrdg-5
10	-775.60789405	-0.07044223	#4@hol-6@NiPbrdg-6
10	-775.58873637	-0.06852646	#4@hol-6@NiPbrdg-7
10	-775.56621471	-0.06627429	#4@hol-6@NiPbrdg-8
10	-775.48524187	-0.05817701	#4@hol-6@NiPbrdg-9
11	-778.55242892	-0.03005620	#4@hol-7@NiPbrdg-1
11	-778.73656098	-0.04679548	#8@NiNibrdg-3@NiPbrdg-1
12	-781.59097239	-0.00423522	#4@hol-8@NiPbrdg-1
12	-781.75318855	-0.01775324	#8@NiNibrdg-4@NiPbrdg-1
13	-784.82546919	0.00253996	#8@NiNibrdg-5@NiPbrdg-1
13	-784.52115593	0.02594867	#12@NiNibrdg-1@NiPbrdg-1
13	-784.66421556	0.01494409	#4@hol-9@NiPbrdg-1
13	-784.66473745	0.01490394	#4@hol-9@NiPbrdg-2
13	-784.60565679	0.01944861	#4@hol-9@NiPbrdg-3
13	-784.60574400	0.01944190	#4@hol-9@NiPbrdg-4
14	-787.71878198	0.03271755	#8@NiNibrdg-6@NiPbrdg-1
14	-787.45260964	0.05172986	#12@NiNibrdg-2@NiPbrdg-1
15	-790.68284508	0.05415477	#8@NiNibrdg-7@NiPbrdg-1
15	-790.36036832	0.07565322	#12@NiNibrdg-3@NiPbrdg-1
16	-793.70082523	0.06954252	#8@NiNibrdg-8@NiPbrdg-1
17	-796.57978066	0.09129788	#8@NiNibrdg-9@NiPbrdg-1
18	-799.41176005	0.11324575	#8@NiNibrdg-10@NiPbrdg-1
19	-802.37221731	0.12612133	#8@NiNibrdg-11@NiPbrdg-1
20	-805.29403738	0.13964121	#8@NiNibrdg-12@NiPbrdg-1
