#The x and y axi are for corresponding coverage.
#no-IVDW-values     IVDW-values
-0.40247632    -0.46034163 
-0.38277646    -0.43820740
-0.35716229    -0.40943846
-0.32677553    -0.37484872
0.30841988     0.21133165 
0.30629591     0.20780748 
0.34085892     0.24182407 
0.34024553     0.24219639 
0.38570323     0.28688081 
0.37420762     0.27101347 
0.35451044     0.26468131 
0.43184004     0.32996263 
0.37618698     0.27490617 
0.55515483     0.46061409 
