VibEne_V	Entrene_S	Fene_V-TS	Remarks
0.16251611	0.00975574	0.15276037	hol
0.18895965	0.00789306	0.18106659	NiNibrdg
0.18274541	0.01204943	0.17069599	NiPbrdg
