VibEne	Entrene	tot_corr	Remarks
0.40617298	0.00000000	0.40617298	#0P
0.17946031	0.00000033	0.17946029	#Ni3P2+4P
0.63454031	0.00000000	0.63454031	#PH2
0.86225086	0.00000000	0.86225086	#PH3
