nH	Eads	Eadsavg	Remarks
1	-811.59106811	0.03856702	#1@0P
2	-814.94233777	0.06870583	#2@PH2
3	-818.17874646	0.11703909	#2@PH2-1@0P
4	-821.48757739	0.12310016	#4@PH2
5	-824.66995423	0.15202762	#3@PH3-2@PH2
6	-828.08747785	0.13212146	#6@PH2
7	-831.32001773	0.14432902	#6@PH2-1@0P
8	-834.60304073	0.14717431	#8@PH2
