#nH En	Remarks
1 -811.99724109 #1@0P
2 -815.57687808 #2@PH2
3 -819.21945975 #2@PH2-1@0P
4 -822.75665801 #4@PH2
5 -826.16674540 #3@PH3-2@PH2
6 -829.99109879 #6@PH2
7 -833.62981165 #6@PH2-1@0P
8 -837.14120198 #8@PH2

