#nH(Final) Ereaction(eV) Eactivation(eV) Remarks(initial)
6	-0.2985	0.098	5H-H3O
7.1	0.1136	0.2819	6H-H3O
7.2	-0.2518	0.0265	6H-H3O
8	-0.5872	0.1638	7H(II)-H3O
