#nH	Diff Ads Energy (2 hydrogen difference)
1	0
2	-1.22559692
3	-1.18005603
4	-1.1240551
4.3	-0.50410422
5	-0.49593848
5.3	-0.47460396
6	0.14256331
6.3	0.30464001
6.6	-0.38294215
7	0.19633687
