nH	En	En-1	diffGibbs	Remarks(n,n-1)
5	-782.50960392	-780.33320069	1.27454112	#4@0P-1@NiPbrdg,#4@PH2
5	-782.50960392	-780.19618919	1.13752962	#4@0P-1@NiPbrdg,#2@PH2-2@0P
5	-782.50960392	-779.94135079	0.88269122	#4@0P-1@NiPbrdg,#4@0P
5	-782.50960392	-779.36918289	0.31052333	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-1
5	-782.50960392	-779.36259155	0.30393198	#4@0P-1@NiPbrdg,#2@PH2-2@Ptop
5	-782.50960392	-779.23088904	0.17222947	#4@0P-1@NiPbrdg,#2@PH2-2@NiPbrdg-2
6	-786.79366615	-783.44730380	0.10458201	#6@PH2,#3@PH3-2@PH2
6	-786.79366615	-783.32728468	-0.01543712	#6@PH2,#4@PH2-1@0P
6	-786.79366615	-783.28488036	-0.05784143	#6@PH2,#3@0P-2@PH2
6	-786.79366615	-782.72268235	-0.62003944	#6@PH2,#4@0P-1@Ptop
6	-786.79366615	-782.50960392	-0.83311787	#6@PH2,#4@0P-1@NiPbrdg
6	-786.63107385	-783.44730380	0.26717431	#4@PH2-2@0P,#3@PH3-2@PH2
6	-786.63107385	-783.32728468	0.14715518	#4@PH2-2@0P,#4@PH2-1@0P
6	-786.63107385	-783.28488036	0.10475087	#4@PH2-2@0P,#3@0P-2@PH2
6	-786.63107385	-782.72268235	-0.45744714	#4@PH2-2@0P,#4@0P-1@Ptop
6	-786.63107385	-782.50960392	-0.67052557	#4@PH2-2@0P,#4@0P-1@NiPbrdg
6	-786.56340845	-783.44730380	0.33483971	#6@PH3,#3@PH3-2@PH2
6	-786.56340845	-783.32728468	0.21482058	#6@PH3,#4@PH2-1@0P
6	-786.56340845	-783.28488036	0.17241627	#6@PH3,#3@0P-2@PH2
6	-786.56340845	-782.72268235	-0.38978174	#6@PH3,#4@0P-1@Ptop
6	-786.56340845	-782.50960392	-0.60286017	#6@PH3,#4@0P-1@NiPbrdg
7	-789.94125127	-786.79366615	0.30335924	#6@PH2-1@0P,#6@PH2
7	-789.94125127	-786.63107385	0.14076694	#6@PH2-1@0P,#4@PH2-2@0P
7	-789.94125127	-786.56340845	0.07310154	#6@PH2-1@0P,#6@PH3
7	-789.87953266	-786.79366615	0.36507785	#3@PH3-4@PH2,#6@PH2
7	-789.87953266	-786.63107385	0.20248555	#3@PH3-4@PH2,#4@PH2-2@0P
7	-789.87953266	-786.56340845	0.13482015	#3@PH3-4@PH2,#6@PH3
8	-793.16836227	-789.94125127	0.22383335	#8@PH2,#6@PH2-1@0P
8	-793.16836227	-789.87953266	0.16211475	#8@PH2,#3@PH3-4@PH2
8	-793.03057580	-789.94125127	0.36161983	#3@PH3-4@PH2-1@0P,#6@PH2-1@0P
8	-793.03057580	-789.87953266	0.29990122	#3@PH3-4@PH2-1@0P,#3@PH3-4@PH2
8	-792.98837433	-789.94125127	0.40382129	#6@PH3-2@PH2,#6@PH2-1@0P
8	-792.98837433	-789.87953266	0.34210269	#6@PH3-2@PH2,#3@PH3-4@PH2
8	-792.89305600	-789.94125127	0.49913962	#6@PH3-2@0P,#6@PH2-1@0P
8	-792.89305600	-789.87953266	0.43742102	#6@PH3-2@0P,#3@PH3-4@PH2
9	-796.31479523	-793.16836227	0.30451140	#3@PH3-6@PH2,#8@PH2
9	-796.31479523	-793.03057580	0.16672492	#3@PH3-6@PH2,#3@PH3-4@PH2-1@0P
9	-796.31479523	-792.98837433	0.12452346	#3@PH3-6@PH2,#6@PH3-2@PH2
9	-796.31479523	-792.89305600	0.02920513	#3@PH3-6@PH2,#6@PH3-2@0P
9	-796.16661977	-793.16836227	0.45268685	#6@PH3-2@PH2-1@0P,#8@PH2
9	-796.16661977	-793.03057580	0.31490038	#6@PH3-2@PH2-1@0P,#3@PH3-4@PH2-1@0P
9	-796.16661977	-792.98837433	0.27269891	#6@PH3-2@PH2-1@0P,#6@PH3-2@PH2
9	-796.16661977	-792.89305600	0.17738058	#6@PH3-2@PH2-1@0P,#6@PH3-2@0P
9	-795.97248426	-793.16836227	0.64682237	#9@PH3,#8@PH2
9	-795.97248426	-793.03057580	0.50903589	#9@PH3,#3@PH3-4@PH2-1@0P
9	-795.97248426	-792.98837433	0.46683443	#9@PH3,#6@PH3-2@PH2
9	-795.97248426	-792.89305600	0.37151610	#9@PH3,#6@PH3-2@0P
10	-799.32876334	-796.31479523	0.43697625	#6@PH3-4@PH2,#3@PH3-6@PH2
10	-799.32876334	-796.16661977	0.28880079	#6@PH3-4@PH2,#6@PH3-2@PH2-1@0P
10	-799.32876334	-795.97248426	0.09466528	#6@PH3-4@PH2,#9@PH3
10	-799.17439988	-796.31479523	0.59133971	#9@PH3-1@0P,#3@PH3-6@PH2
10	-799.17439988	-796.16661977	0.44316426	#9@PH3-1@0P,#6@PH3-2@PH2-1@0P
10	-799.17439988	-795.97248426	0.24902874	#9@PH3-1@0P,#9@PH3
10	-798.65076720	-796.31479523	1.11497238	#8@PH2-1@Ptop-1@NiPbrdg-1,#3@PH3-6@PH2
10	-798.65076720	-796.16661977	0.96679693	#8@PH2-1@Ptop-1@NiPbrdg-1,#6@PH3-2@PH2-1@0P
10	-798.65076720	-795.97248426	0.77266141	#8@PH2-1@Ptop-1@NiPbrdg-1,#9@PH3
10	-798.65069755	-796.31479523	1.11504203	#8@PH2-1@Ptop-1@NiPbrdg-2,#3@PH3-6@PH2
