VibEne	Entrene	tot_corr	Remarks
0.15549759	0.00000185	0.15549745	#hol
0.18521714	0.00000022	0.18521713	#NiNibrdg
0.17273572	0.00000053	0.17273568	#NiPbrdg
0.19403686	0.00000011	0.19403685	#Ptop
0.14019736	0.00000554	0.14019689	#Nitop
