nH	Eads	Eadsavg	Remarks
10	-775.61991315	0.06096124	#8@NiNibrdg-2@NiPbrdg-2
10	-775.55245174	0.06770739	#8@NiNibrdg-2@NiPbrdg-3
10	-775.59738547	0.06321401	#4@hol-6@NiPbrdg-2
10	-775.52126242	0.07082632	#4@hol-6@NiPbrdg-3
10	-775.55072036	0.06788052	#4@hol-6@NiPbrdg-4
10	-775.57583442	0.06536912	#4@hol-6@NiPbrdg-5
10	-775.60789405	0.06216315	#4@hol-6@NiPbrdg-6
10	-775.58873637	0.06407892	#4@hol-6@NiPbrdg-7
10	-775.56621471	0.06633109	#4@hol-6@NiPbrdg-8
10	-775.48524187	0.07442837	#4@hol-6@NiPbrdg-9
11	-778.55242892	0.10254918	#4@hol-7@NiPbrdg-1
11	-778.73656098	0.08580991	#8@NiNibrdg-3@NiPbrdg-1
12	-781.59097239	0.12837016	#4@hol-8@NiPbrdg-1
12	-781.75318855	0.11485215	#8@NiNibrdg-4@NiPbrdg-1
13	-784.82546919	0.13514534	#8@NiNibrdg-5@NiPbrdg-1
13	-784.52115593	0.15855406	#12@NiNibrdg-1@NiPbrdg-1
13	-784.66421556	0.14754947	#4@hol-9@NiPbrdg-1
13	-784.66473745	0.14750932	#4@hol-9@NiPbrdg-2
13	-784.60565679	0.15205399	#4@hol-9@NiPbrdg-3
13	-784.60574400	0.15204728	#4@hol-9@NiPbrdg-4
14	-787.71878198	0.16532293	#8@NiNibrdg-6@NiPbrdg-1
14	-787.45260964	0.18433524	#12@NiNibrdg-2@NiPbrdg-1
15	-790.68284508	0.18676015	#8@NiNibrdg-7@NiPbrdg-1
15	-790.36036832	0.20825860	#12@NiNibrdg-3@NiPbrdg-1
16	-793.70082523	0.20214791	#8@NiNibrdg-8@NiPbrdg-1
17	-796.57978066	0.22390326	#8@NiNibrdg-9@NiPbrdg-1
18	-799.41176005	0.24585113	#8@NiNibrdg-10@NiPbrdg-1
19	-802.37221731	0.25872671	#8@NiNibrdg-11@NiPbrdg-1
20	-805.29403738	0.27224659	#8@NiNibrdg-12@NiPbrdg-1
